system   D            wsystem.c:583  maybe_parent_dir                 [   0.00029] Also searching C:\Users\BSP-B.Tech\Documents\Visual Studio 2012\Projects\Load Runner 1.0\
display  D   display_settings.c:377  _al_score_display_settings       [   0.11423] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11425] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11428] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11430] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11432] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11434] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11437] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11439] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11441] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11443] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11446] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11448] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11450] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11452] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11455] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11457] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11462] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11464] Single Buffer requirement not met.
